협정,류,호,소호,적용단위,기준
한-아세안,17,6108.21,,6108.21,6108.21 6108.21 * 9619.00
한-아세안,18,6108.22,,6108.22,6108.22 6108.22 * 9619.00
한-아세안,19,6108.29,,6108.29,6108.29 6108.29 * 9619.00
한-아세안,24,6111.20,,6111.20,6111.20 6111.20 * 9619.00
한-아세안,81,6211.41,,6211.41,6211.41 * 6211.49
한-아세안,3,3907.20,,3907.20,3907.20 3907.20 * 3002.10
한-아세안,17,6108.21,,6108.21,6108.21 6108.21 * 9619.00
한-아세안,18,6108.22,,6108.22,6108.22 6108.22 * 9619.00
한-아세안,19,6108.29,,6108.29,6108.29 6108.29 * 9619.00
한-아세안,23,6111.20,,6111.20,6111.20 6111.20 * 9619.00
한-아세안,97,6406.91,,6406.91,6406.91 * 6406.90
한-아세안,98,6406.99,,6406.99,6406.99 * 6406.90
한-아세안,3,3907.20,,3907.20,3907.20 3907.20 * 3002.10
한-아세안,94,9114.20,,9114.20,9114.20 * 9114.90
한-아세안,3,3907.20,,3907.20,3907.20 3907.20 * 3002.10
한-아세안,92,9114.20,,9114.20,9114.20 * 9114.90
한-아세안,3,3926.90,,3926.90,3006.91 3006.91 3926.90 3926.90 * 9619.00
한-아세안,53,6406.99,,6406.99,6406.99 * 6406.90
한-아세안,97,9114.20,,9114.20,9114.20 * 9114.90
한-아세안,3,3907.20,,3907.20,3907.20 3907.20 * 3002.10
한-아세안,10,3926.90,,3926.90,3006.91 3006.91 3926.90 3926.90 * 9619.00
한-아세안,42,6406.91,,6406.91,6406.91 * 6406.90
한-아세안,97,9114.20,,9114.20,9114.20 * 9114.90
한-아세안,8,6108.21,,6108.21,6108.21 6108.21 * 9619.00
한-아세안,9,6108.22,,6108.22,6108.22 6108.22 * 9619.00
한-아세안,13,6111.20,,6111.20,6111.20 6111.20 * 9619.00
한-아세안,60,6211.41,,6211.41,6211.41 * 6211.49
한-아세안,77,6406.91,,6406.91,6406.91 * 6406.90
한-아세안,99,9114.20,,9114.20,9114.20 * 9114.90
한-아세안,9,6108.21,,6108.21,6108.21 6108.21 * 9619.00
한-아세안,10,6108.22,,6108.22,6108.22 6108.22 * 9619.00
한-아세안,11,6108.29,,6108.29,6108.29 6108.29 * 9619.00
한-아세안,42,6211.41,,6211.41,6211.41 * 6211.49
한-아세안,71,6406.91,,6406.91,6406.91 * 6406.90 목재제의 기타 신발류 부분품
한-아세안,97,9114.20,,9114.20,9114.20 * 9114.90
한-아세안,6,6108.21,,6108.21,6108.21 6108.21 * 9619.00
한-아세안,7,6111.20,,6111.20,6111.20 6111.20 * 9619.00
한-아세안,27,6211.41,,6211.41,6211.41 * 6211.49
한-아세안,91,9114.20,,9114.20,9114.20 * 9114.90
한-아세안,15,6211.41,,6211.41,6211.41 * 6211.49
한-아세안,60,6406.91,,6406.91,6406.91 * 6406.90
한-아세안,61,6406.99,,6406.99,6406.99 * 6406.90
한-아세안,91,9114.20,,9114.20,9114.20 * 9114.90
한-베트남,01,,,01,완전생산기준
한-베트남,02,,,02,완전생산기준
한-베트남,03,,,03,완전생산기준
한-베트남,04,04.01,,04.01,완전생산기준
한-베트남,04,04.02,0402.10,0402.10,2단위 세번변경기준 또는 체약당사국 내에서 발생한 부가가치가 45퍼센트 이상일 것
