video_id,published,duration_sec,views,export_module,is_export_related,topics,title,url
7qJEhWS7iM4,2026-08-02,1057,446,M15 무역금융/지원,Y,통관일반/관세|원산지/FTA|무역금융/지원|자격증/시험,유튜브 매출만으로 정부 정책자금 대출가능 | 수출실적과 무역금융,https://www.youtube.com/watch?v=7qJEhWS7iM4
Qw-i_nDc53Y,2026-07-03,663,2151,,N,통관일반/관세|원산지/FTA|운송/B/L/포워딩|자격증/시험|취업/커리어,SCM 직무와 필요한 자격증 설명 |  CPIM | 물류관리사 | 유통관리사 | ERP,https://www.youtube.com/watch?v=Qw-i_nDc53Y
DrJQGMsIeCw,2026-06-05,2068,1758,,N,기초/용어|통관일반/관세|원산지/FTA|운송/B/L/포워딩|자격증/시험|취업/커리어,"SCM 취업필수 | MRP, ERP, JIT | 물류관리사 기초용어 | 생산관리부터 SCM까지 30분 총정리",https://www.youtube.com/watch?v=DrJQGMsIeCw
Em1b0sV485c,2026-05-13,728,399,,N,통관일반/관세|원산지/FTA|개인/여행/직구|자격증/시험,해외여행 쇼핑 면세한도 | 신고안하다 걸리면 발생하는 일,https://www.youtube.com/watch?v=Em1b0sV485c
JgmAAoQ6mYc,2026-04-22,334,1680,,N,통관일반/관세|원산지/FTA|운송/B/L/포워딩|자격증/시험,"물류관리사, 스마트해상물류관리사, ERP물류관리사. 어떤 물류관리사가 진짜 물류관리사?",https://www.youtube.com/watch?v=JgmAAoQ6mYc
zmnqO96Ue8A,2026-04-06,751,2448,,N,통관일반/관세|자격증/시험|취업/커리어,관세사 시험 직장인도 병행가능 할까요? 40대 이상도 취업 되나요?,https://www.youtube.com/watch?v=zmnqO96Ue8A
TFZgNovq5G0,2026-03-13,1668,4162,,N,통관일반/관세|원산지/FTA|자격증/시험,관세사 시험의 모든 것! 1년만에 합격하는 동차 공부방법,https://www.youtube.com/watch?v=TFZgNovq5G0
101J24hzkQ4,2026-03-02,692,571,,N,통관일반/관세|원산지/FTA|특수무역형태|개인/여행/직구|자격증/시험,해외직구 체크카드로 결제하면 안되는 이유,https://www.youtube.com/watch?v=101J24hzkQ4
dHdnWw281jY,2026-02-10,1274,5555,,N,통관일반/관세|원산지/FTA|운송/B/L/포워딩|결제/신용장/외환|자격증/시험|취업/커리어,무역회사 취업 필수로 취득해야 하는 무역 7대 자격증(국제무역사부터 스마트해상물류관리사까지),https://www.youtube.com/watch?v=dHdnWw281jY
ZRh4Voc23Zk,2026-01-25,906,1189,,N,통관일반/관세|원산지/FTA|개인/여행/직구|자격증/시험,"명품가방도 반값, 양주도 반값. 세관공매 이론과 실무",https://www.youtube.com/watch?v=ZRh4Voc23Zk
L7AhX8ibLPg,2026-01-06,1216,7114,,N,통관일반/관세|원산지/FTA|자격증/시험,2026년 국제무역사 시험 공부방법 | 준비기간 | 난이도 | 영어못해도 가능? | 무역영어 시험과 비교,https://www.youtube.com/watch?v=L7AhX8ibLPg
sUmgLkWt4pU,2025-12-23,60,3993,,N,통관일반/관세|원산지/FTA|자격증/시험,관세사 영어를 못해도 되나요?,https://www.youtube.com/watch?v=sUmgLkWt4pU
L9WUThci2tQ,2025-12-18,1116,2841,,N,통관일반/관세|원산지/FTA|운송/B/L/포워딩|결제/신용장/외환|자격증/시험|취업/커리어,2025년 무역자격증 시험 24번 응시. 국제무역사부터 스마트해상물류관리사까지 모든 자격증 난이도와 수험기간 분석,https://www.youtube.com/watch?v=L9WUThci2tQ
jvRo5I9vazU,2025-12-07,774,807,,N,통관일반/관세|원산지/FTA|자격증/시험,"2025년 개편 CDCS 공부방법, 난이도, 시험범위 등 자주 묻는 질문(FAQ) 총정리",https://www.youtube.com/watch?v=jvRo5I9vazU
drca4Sr10_8,2025-11-22,1267,1297,,N,통관일반/관세|원산지/FTA|자격증/시험,영국 최고무역자격증 CDCS 2025년 전면개편. 응시료 730파운드(약 140만원) 내고 직접 응시한 후기,https://www.youtube.com/watch?v=drca4Sr10_8
XYYrGK16ygQ,2025-10-26,461,2514,M10 운송/물류/B/L,Y,운송/B/L/포워딩|보험|자격증/시험,이거 알면 진짜 무역고수 인정. 해상보험 대위권과 포워더의 역할,https://www.youtube.com/watch?v=XYYrGK16ygQ
