번호,항목,TYPE,SIZE,조건,서류EDI
①,신고자,A..,40,M,공통
②,수출대행자,AN..,28,M,공통
-,통관고유부호,AN,15,C,공통
-,일련번호,AN..,4,C,공통
-,수출자구분,AN,1,M,공통
-,수출화주,AN..,28,M,공통
-,주소,AN..,35,M,공통
-,대표자,AN..,12,M,공통
-,사업자등록번호,AN..,13,C,공통
-,소재지,AN,5,M,공통
③,제조자,AN..,28,M,공통
,제조장소,AN,5,M,공통
,산업단지부호,AN,3,M,공통
④,구매자,AN..,26,M,공통
-,구매자부호,AN..,13,M,공통
-,신고인부호,AN,5,M,공통
-,연도,AN,2,M,공통
-,일련번호,AN,7,M,공통
-,신고세관,AN,3,M,공통
-,신고과,AN,2,M,공통
⑦,신고일자,AN,8,M,공통
⑧,신고구분,AN,1,M,공통
,거래구분,AN,3,M,공통
,종류,AN,1,M,공통
,결제방법,AN,2,M,공통
,목적국,AN,7,M,서류
-,코드,AN,2,M,공통
,적재항,AN,12,M,서류
-,코드,AN..,5,M,공통
,선박회사또는,AN,25,C,서류
-,코드,AN,4,C,공통
,선박명또는항,AN,23,C,공통
,출항예정일자,N,8,C,서류
,적재예정보,AN,8,M,서류
-,운송수단,AN,2,M,공통
-,운송용기,AN..,3,M,공통
,검사희망일,AN,8,C,공통
,물품소재지,AN,5,M,공통
-,장치장소,AN..,40,M,공통
-,장치장부호,AN,8,C,공통
-,반입번호,AN,15,C,공통
,L/C번호,AN..,20,C,공통
,물품상태,AN,1,M,공통
,사전임시개청,AN,1,M,공통
,반송사유,AN,2,C,공통
,환급신청인,AN,1,C,공통
,자동간이정액환급,AN,2,M,공통
◎,서류첨부여부,AN,1,M,EDI
,품명,AN..,50,M,공통
,거래품명,AN..,50,M,공통
,상표명,AN..,30,M,공통
-,규격번호,N..,2,C,EDI
-,모델․규격,AN..,400,C,공통
,성분,AN..,70,C,공통
32,수량,N..,14,C,공통
-,단위,AN..,3,C,공통
33,단가,N..,18,C,공통
,금액,N..,16,C,공통
,세번부호,AN,10,M,공통
,순중량,N..,11,M,공통
-,단위,AN,2,M,공통
,수량,N..,10,C,공통
,신고가격,N..,15,M,공통
◎,차대번호,AN..,20,C,EDI
-,차대관리번호,AN,3,C,EDI
,송품장부호,AN..,17,C,공통
,수입신고번호,AN..,15,C,공통
-,란번호,N..,3,C,공통
-,국가부호,AN,2,M,공통
-,결정기준,AN,1,C,공통
-,표시여부,AN,1,C,공통
-,FTA원산지증명서,AN,1,C,공통
-,발급협정명,AN,10,C,공통
,포장개수,N..,6,M,공통
-,종류,AN,2,M,공통
-,일련번호,AN..,2,C,EDI
-,구분,AN,1,C,공통
-,법령부호,AN,2,C,EDI
-,요건번호,AN..,20,C,공통
-,발급일자,AN,8,C,EDI
-,발급서류명,AN..,35,C,공통
,총중량,N..,11,M,공통
,총포장개수,N..,6,C,공통
,총신고가격,N..,15,M,공통
,운임,N..,12,C,공통
,보험료,N..,12,C,공통
-,인도조건,AN,3,M,공통
-,통화종류,AN,3,M,공통
-,결제금액,N..,18,M,공통
◎,환율,N..,8,M,공통
,수입화물관리,AN..,18,C,공통
-,구분,AN..,2,C,공통
-,적입여부,AN,1,M,공통
-,컨테이너번호,AN..,11,C,공통
◎,신고인기재란,AN..,500,C,공통
,운송신고인,AN..,30,C,공통
,기간,AN,16,C,공통
-,요건승인번호,AN..,20,C,공통
