코드군,명칭,코드테이블,개별코드
BL_TPCD,BL구분코드,,N
BL_DVDE_RCD,BL분할사유코드,,N
BL_PCD,BL유형코드,,N
CIQ_PRCD_PLC_TPCD,CIQ수속장소구분코드,,N
COB_CARG_INSC_RSCD,COB화물검사결과코드,,N
COB_CARG_CHNG_RCD,COB화물변경사유코드,,N
CY_CFS_TPCD,CY_CFS구분코드,,N
FIU_FNIN_CD,FIU금융기관코드,,N
FTA_ORCY_DTRM_BASE_CD,FTA원산지결정기준코드,,N
FTA_ORCY_DTRM_BASE_CD_01,FTA원산지결정기준코드_01,,N
FTA_ORCY_DTRM_BASE_CD_02,FTA원산지결정기준코드_02,,N
FTA_ORCY_DTRM_BASE_CD_03,FTA원산지결정기준코드_03,,N
FTA_ORCY_DTRM_BASE_CD_04,FTA원산지결정기준코드_04,,N
FTA_ORCY_DTRM_BASE_CD_05,FTA원산지결정기준코드_05,,N
FTA_ORCY_DTRM_BASE_CD_06,FTA원산지결정기준코드_06,,N
FTA_ORCY_DTRM_BASE_CD_07,FTA원산지결정기준코드_07,,N
FTA_ORCY_DTRM_BASE_CD_08,FTA원산지결정기준코드_08,,N
FTA_ORCY_DTRM_BASE_CD_09,FTA원산지결정기준코드_09,,N
FTA_ORCY_DTRM_BASE_CD_10,FTA원산지결정기준코드_10,,N
FTA_ORCY_DTRM_BASE_CD_11,FTA원산지결정기준코드_11,,N
FTA_ORCY_DTRM_BASE_CD_12,FTA원산지결정기준코드_12,,N
FTA_ORCY_DTRM_BASE_CD_13,FTA원산지결정기준코드_13,,N
FTA_ORCY_DTRM_BASE_CD_14,FTA원산지결정기준코드_14,,N
FTA_ORCY_DTRM_BASE_CD_15,FTA원산지결정기준코드_15,,N
FTA_ORCY_DTRM_BASE_CD_16,FTA원산지결정기준코드_16,,N
FTA_ORCY_DTRM_BASE_CD_17,FTA원산지결정기준코드_17,,N
IMDG_DNAR_TPCD,IMDG위험물구분코드,,N
PRC_DCLR_ITEM_CD,가격신고항목코드,,N
PRC_COND_CD,가격조건코드,,N
ADTX_EXMP_RCD,가산세면제사유코드,,N
FMLY_RLCD,가족관계코드,,N
SIML_EXP_INSC_RSCD,간이수출검사결과코드,,N
SRVL_ANAY_TRGT_TPCD,감시분석대상구분코드,,N
OPBG_INSC_BRKD_PRCS_STCD,개장검사내역처리상태코드,,N
OPBG_INSC_CMDT_CFRM_RSCD,개장검사물품확인결과코드,,N
DLNG_BSS_DOC_TPCD,거래근거문서구분코드,,N
RSDN_STCD,거주상태코드,,N
CNSC_MCHN_RGSR_ITT_CD,건설기계등록기관코드,,N
CNSC_MCHN_BSOP_CD,건설기계업무코드,,N
CNSC_MCHN_KCAR_CD,건설기계차종코드,,N
INSC_QUAN_ITT_CD,검사검역기관코드,,N
INSC_QUAN_BLNG_ITT_CD,검사검역소속기관코드,,N
INSC_QUAN_APNT_PCD,검사검역지정유형코드,,N
INSC_TRGT_NNAPNT_RCD,검사대상비지정사유코드,,N
INSC_TRGT_RELE_RCD,검사대상해제사유코드,,N
INSC_MCD,검사방법코드,,N
DTCT_INSC_PRCS_STCD,검색기검사처리상태코드,,N
DFCT_DSPS_RCD,결손처분사유코드,,N
STLM_TPCD,결제구분코드,,N
STLM_MCD,결제방법코드,,N
EBK_KCD,경제권종류코드,,N
DPRT_CD,계코드,,N
CHRG_RCD,고발사유코드,,N
CHRG_OPIN_CD,고발의견코드,,N
CHRG_DSPS_CD,고발처분코드,,N
NFCPN_PCD,고지유형코드,,N
NFCPN_PCD_01,고지유형코드_01,,N
NFCPN_PCD_02,고지유형코드_02,,N
NFCPN_PCD_03,고지유형코드_03,,N
NFCPN_PCD_04,고지유형코드_04,,N
NFCPN_PCD_05,고지유형코드_05,,N
NFCPN_PCD_06,고지유형코드_06,,N
NFCPN_PCD_07,고지유형코드_07,,N
NFCPN_PCD_08,고지유형코드_08,,N
NFCPN_PCD_09,고지유형코드_09,,N
NFCPN_PCD_10,고지유형코드_10,,N
NFCPN_PCD_11,고지유형코드_11,,N
NFCPN_PCD_12,고지유형코드_12,,N
NFCPN_PCD_13,고지유형코드_13,,N
NFCPN_PCD_14,고지유형코드_14,,N
NFCPN_PCD_15,고지유형코드_15,,N
NFCPN_PCD_16,고지유형코드_16,,N
NFCPN_PCD_17,고지유형코드_17,,N
EXCS_DRWB_ADCH_PCD,과다환급추징유형코드,,N
FNDF_CD,과징금코드,,N
DVSN_CD,과코드,,N
CNOR_CD,관계기관코드,,N
WTJR_ENTP_TPCD,관내입항지구분코드,,N
MT_TRGT_CARG_INSC_RSCD,관리대상화물검사결과코드,,N
MT_TRGT_CARG_INSC_TPCD,관리대상화물검사구분코드,,N
MT_TRGT_CARG_HNWR_SELC_RCD,관리대상화물수작업선별사유코드,,N
MT_TRGT_CARG_TKAC_RSCD,관리대상화물조치결과코드,,N
MT_TRGT_CARG_WGHT_OVER_TPCD,관리대상화물중량초과구분코드,,N
MT_TRGT_CARG_RELE_RCD,관리대상화물해제사유코드,,N
LCA_DLNG_REL_STTM_TPCD,관세사거래관계기재구분코드,,N
LCA_INSC_OPIN_STTM_TPCD,관세사검사의견기재구분코드,,N
LCA_PR_RSTN_RCD,관세사별제재사유코드,,N
LCA_CMNN_TPCD,관세사표창구분코드,,N
LCA_PRNM_STSZ_STTM_TPCD,관세사품명규격기재구분코드,,N
TRRT_TPCD,관세율구분코드,,N
KCS_RELA_ITT_CD,관세청관련기관코드,,N
KCS_RELA_ITT_CD_02,관세청관련기관코드_02,,N
KCS_RELA_ITT_CD_03,관세청관련기관코드_03,,N
KCS_RELA_ITT_CD_04,관세청관련기관코드_04,,N
KCS_RELA_ITT_CD_05,관세청관련기관코드_05,,N
